File Path,defect,
./mainnet/35/35b53cdd9d1F0B8542012f0aC13D736849A55A84_basedp.sol,Yes,
./mainnet/35/35b0B6ae241eFF476B2742eDEF127DDeb1dd1d18_itsJoever.sol,Yes,
./mainnet/35/3519eb992d5986894e9e05776a01eacd9f5f11db_HATSUMI.sol,Yes,
./mainnet/35/352dbba201af66f98a47f2b280bff45f9050dbf8_Hack.sol,Yes,
./mainnet/35/35c674c288577df3e9b5dafef945795b741c7810_Memestake.sol,Yes,
./mainnet/35/353c109eeca9099f6f74c28c1448af151d8d44aa_Toxiferate.sol,Yes,
./mainnet/35/35482d03a807abdf5b25f277bfe744a4e2fb19a2_CactiClub.sol,Yes,
./mainnet/35/354DE877755209e15dA6698Bc2787aEE96d1929d_PowerwallInu.sol,Yes,
./mainnet/35/35ee982c878358127815b1c6c7704166d03467a5_Dogmoon.sol,Yes,
./mainnet/35/352b115ca62bee4b58a127b933aa99ee8a1770fc_SHINIGAMI.sol,Yes,
./mainnet/35/35c72965c55d686aca55c79f8508198e04192f49_TopChad.sol,Yes,
./mainnet/35/35E3AA6293C73de5931dd44471DaBb2808f2e8e8_D2.sol,Yes,
./mainnet/35/354b95d9bd18aa3bfb012a072eda6c95292f9f9c_Slinja.sol,Yes,
./mainnet/35/35a387a4a31ac100d70c84cc87956741f9bf2a5b_black.sol,Yes,
./mainnet/35/356F5F81eF4bba80dc122f926658e9B5905362C8_TATE.sol,Yes,
./mainnet/35/356f5fc91730baa21d5cf62528a10f03c4d7bc29_BIGAI.sol,Yes,
./mainnet/35/357963b2e66468347aef6642bf8c033bc18afde6_Token.sol,Yes,
./mainnet/35/3585dbbe17ecb27ac1d54c1768f24258b859b893_Sprint.sol,Yes,
./mainnet/35/35323ee9f636a0a6456a0f9b5f1f35eb2403493c_SailanaInuF.sol,Yes,
./mainnet/35/35027a992a3c232dd7a350bb75004ad8567561b2_EasyInvestForever.sol,Yes,
./mainnet/35/35fd00d47202b1b2158dba75e7cc8f71b068c256_Crowdsale.sol,Yes,
./mainnet/35/3573985bd7f0cdd281ca560b5313b9b77933594d_BadBunnyNFTStaking.sol,Yes,
./mainnet/35/35113aa2392241F77506a44156aaF6FbB7331C45_MuseumAI.sol,Yes,
./mainnet/35/35b21f354e1b35298707E173C35a120d244640d9_OrangeToken_info.sol,Yes,
./mainnet/58/58d46be9dee0e87256498b7ea4103d13d55672dd_VSRERC20.sol,Yes,
./mainnet/58/58d8409a8b184cf09489bd40d28df0c0e20256dd_GODOFCRYPTO.sol,Yes,
./mainnet/58/58aac3f9f6cf6bce71fef212a09bc3d221fa63f8_OKTOBERFEST.sol,Yes,
./mainnet/58/5802adcae69b4d6b751171bcc6e92cb3bbfc9c36_CryptoSagaArenaRecord.sol,Yes,
./mainnet/58/5862c05f161baf8350f5204c3df5051e5f6b2f96_DREAM.sol,Yes,
./mainnet/58/5892f5d533e81f9df91cd4a61886d555bae6b166_ETHDox.sol,Yes,
./mainnet/58/587cEda8e98EBa86eb77A7714Fe9e70d900DfbB8_LoadTokenERC.sol,Yes,
./mainnet/58/58f9c54CA9543dd14991b17d98a3F1C6d839D8A6_SHIBANK.sol,Yes,
./mainnet/58/584709E199269Acf942a63c3d1e7983f7641C3C8_floBTC.sol,Yes,
./mainnet/58/58663422F41AbB1B9F3e6291DCA5cf0b28A2e50e_ODAI.sol,Yes,
./mainnet/58/588af66e504665ec4f817c8ca957649136b25384_FUTR.sol,Yes,
./mainnet/58/58dd24af9ad7e5b660f7d1e500799bed0cb53aac_EthereumWings.sol,Yes,
./mainnet/58/58CA1BC9A592B2384Be3a975c94857FBda242ccb_PulsechainNameService.sol,Yes,
./mainnet/58/581DFF891Bacc5DCa9369AAA92B358326bb17FA0_HUNTER.sol,Yes,
./mainnet/58/5883c95e0d0c74de2493c01c0dda6bc3f392e6f8_FearUncertaintyDoubt.sol,Yes,
./mainnet/58/588F2dDd65027753E75Cc18b495f9722299789e7_SagayaSukiContract.sol,Yes,
./mainnet/58/58a11a4445adc8384ccb69935162af2ca5ae7f63_Ethervote.sol,Yes,
./mainnet/58/58ebbdae2a6f0133a0706d82ca347eb3492eef05_SCARDust.sol,Yes,
./mainnet/58/587501adbf07ceb8f1fc8b7dedb77978f33b1a03_ApeLabs.sol,Yes,
./mainnet/58/5812d31ccedd574dbf01f0fb64f33f5f8fab257d_Token.sol,Yes,
./mainnet/58/58aa3d34631a3246c5f314dab59b30d67132a90c_FoMoRapid.sol,Yes,
./mainnet/58/586927ff87bf40aada74afbff5e2409b865be023_HashBet.sol,Yes,
./mainnet/58/58382dcb560e3331f0aec614fec7e3ec2ed29dba_PRISM.sol,Yes,
./mainnet/58/586d5D66f8A5f563661ac30488CacCCE056cc8b0_OwnbitMultiSig.sol,Yes,
./mainnet/58/58232003B3D18021acFc9213D27D6F8b72F4F029_Rich3D.sol,Yes,
./mainnet/58/58e031fa6a9b27aa5da9f4cd6cc7e8e6ffddac08_FJ3DLong.sol,Yes,
./mainnet/58/580AC63e30097c8333787D85799Abd6A38ee3396_ZeroxAIFactory.sol,Yes,
./mainnet/58/58c48835d0740271067c0b2d05ebcd5280fe5044_PikaRamen.sol,Yes,
./mainnet/58/587b154d4e7da15ba070d38ffe4f92c25179f839_HexInu.sol,Yes,
./mainnet/58/5875a4c8a7202f7ecd57029191a91db8e9e3419b_Warlock.sol,Yes,
./mainnet/58/584785075E932a5A4C268A97A23Cd3BFb1BfEd1F_THEDISTRICT.sol,Yes,
./mainnet/58/5897ea24930d7630aec614f678631679a753fd36_sigma.sol,Yes,
./mainnet/58/5810a106fb8610743af8b97dff85f815203de03f_SCRT.sol,Yes,
./mainnet/58/5882a0ed80ca3dc839e58d10f022408c74c9890e_Breast.sol,Yes,
./mainnet/58/582a00ca64d229a255c7d764aef74fce96ae753d_PanPan.sol,Yes,
./mainnet/58/587d0572a6a50AD0C919f0AE0A70f90Be2672512_GOST.sol,Yes,
./mainnet/58/5806AA266013D733db093F8A74dA733A081f989a_TheWildWest.sol,Yes,1
./mainnet/58/58dd785a26cd630e08e444b5a7dfbfbb051263a8_HYPEUP.sol,Yes,
./mainnet/58/5842b7ee0139dd3fc5644a394ce1bcee33ee86b7_BubbleMulticall.sol,Yes,
./mainnet/58/5895217D30b08d8A29f9a4342d00C5FA56432dFd_TheArk.sol,Yes,
./mainnet/ea/ea78f413b03cd092b12e1473f793cf3330445844_Neymarinu.sol,Yes,
./mainnet/ea/ea7184e095cd6ee71bc9e834d89948659987c9a6_Spill.sol,Yes,
./mainnet/ea/ea8ea64b4e84d13caed9213e80262b67d4f17613_Etholution.sol,Yes,
./mainnet/ea/ea30d20bd3a5b57c1fc8beb81adc1f3d93dbab71_Reseller.sol,Yes,
./mainnet/ea/ea7f09894b3d1184e0e4fe43da7820068f2f4821_BuybackDev.sol,Yes,1
./mainnet/ea/eac8969be4b988d820f60a19cf19203cf597fa72_SHIBFOXINU.sol,Yes,
./mainnet/ea/ea107c670378f08f6adfacf7a43f35506700583e_TheLaziestLarp.sol,Yes,
./mainnet/ea/ea19ff19582654cebe9a9e7d741bb85e0bcc0d7e_MissingLink.sol,Yes,
./mainnet/ea/eA580D99922bcEAAD33C57773B25764E925Bc8c2_FURY.sol,Yes,
./mainnet/ea/ea331d909F70D0F553Ac26D5881404c25B98543A_Helga.sol,Yes,
./mainnet/ea/ea8c9db193996bbc3f6a9afbdbea2b3b62c11253_RAcoinToken.sol,Yes,
./mainnet/ea/EA6378A01B4F114D1171EFcD371eed2333eA7931_X.sol,Yes,
./mainnet/ea/EA67E4f0FC90cA1F834d94e823Ce14ab7B95397A_BFG.sol,Yes,
./mainnet/ea/eafff1c115d5f8060531356a21c46668eff6da96_EasyInvest35.sol,Yes,
./mainnet/ea/ea35b9ff7e90a04a7a255340eebb2dc42710bc94_VALENTINU.sol,Yes,
./mainnet/ea/ea3c0d91758a0dbafa81b43d6eda60c6dbc8dccd_cybermoon.sol,Yes,
./mainnet/ea/EA866Dd4068352E7AE16cdc66dCbe428A31Bef54_ERC20.sol,Yes,
./mainnet/ea/EA617D22a99025E75d9E0E10C16836b5138B5250_ValentineFloki.sol,Yes,
./mainnet/ea/EAc6F762c7c75bDBA1493721AeE2839B309DFf26_EdToken.sol,Yes,
./mainnet/ea/ea466d99914aec270d8537faeb2c4b165534a09d_Token.sol,Yes,
./mainnet/ea/eA7a84a6E0FF91C106f17e4B61Eeea8726bfa484_ReimaginedShib.sol,Yes,
./mainnet/ea/eaea6012600483581793545be77a741f704eeaea_EatCake.sol,Yes,
./mainnet/ea/ea0a9658916a043ace73e3fd6b0e5660713a2804_GRODD.sol,Yes,
